Subscription type: 4
Trying 127.0.0.1:40001...
Connected to 127.0.0.1:40001
Message_type information: P - Market status, M - Quote, T - Trade

T, 105405, REL, 5505.5

T, 105406, REL, 5506.5

T, 105407, REL, 5507.5

T, 105408, REL, 5508.5

T, 105409, REL, 5509.5

T, 105410, REL, 5510.5

T, 105411, REL, 5511.5

T, 105412, REL, 5512.5

T, 105413, REL, 5513.5

T, 105414, REL, 5514.5

T, 105415, REL, 5515.5

T, 105416, REL, 5516.5

T, 105417, REL, 5517.5

T, 105418, REL, 5518.5

T, 105419, REL, 5519.5

T, 105420, REL, 5520.5

T, 105421, REL, 5521.5

T, 105422, REL, 5522.5

T, 105423, REL, 5523.5

T, 105424, REL, 5524.5

T, 105425, REL, 5525.5

T, 105426, REL, 5526.5

T, 105427, REL, 5527.5

T, 105428, REL, 5528.5

T, 105429, REL, 5529.5

T, 105430, REL, 5530.5

T, 105431, REL, 5531.5

T, 105432, REL, 5532.5

T, 105433, REL, 5533.5

T, 105434, REL, 5534.5

T, 105435, REL, 5535.5

T, 105436, REL, 5536.5

T, 105437, REL, 5537.5

T, 105438, REL, 5538.5

T, 105439, REL, 5539.5

T, 105440, REL, 5540.5

T, 105441, REL, 5541.5

T, 105442, REL, 5542.5

T, 105443, REL, 5543.5

T, 105444, REL, 5544.5

T, 105445, REL, 5545.5

T, 105446, REL, 5546.5

T, 105447, REL, 5547.5

T, 105448, REL, 5548.5

T, 105449, REL, 5549.5

T, 105450, REL, 5550.5

T, 105451, REL, 5551.5

T, 105452, REL, 5552.5

T, 105453, REL, 5553.5

T, 105454, REL, 5554.5

T, 105455, REL, 5555.5

T, 105456, REL, 5556.5

T, 105457, REL, 5557.5

T, 105458, REL, 5558.5

T, 105459, REL, 5559.5

T, 105460, REL, 5560.5

T, 105461, REL, 5561.5

T, 105462, REL, 5562.5

T, 105463, REL, 5563.5

T, 105464, REL, 5564.5

T, 105465, REL, 5565.5

T, 105466, REL, 5566.5

T, 105467, REL, 5567.5

T, 105468, REL, 5568.5

T, 105469, REL, 5569.5

T, 105470, REL, 5570.5

T, 105471, REL, 5571.5

T, 105472, REL, 5572.5

T, 105473, REL, 5573.5

T, 105474, REL, 5574.5

T, 105475, REL, 5575.5

T, 105476, REL, 5576.5

T, 105477, REL, 5577.5

T, 105478, REL, 5578.5

T, 105479, REL, 5579.5

T, 105480, REL, 5580.5

T, 105481, REL, 5581.5

T, 105482, REL, 5582.5

T, 105483, REL, 5583.5

T, 105484, REL, 5584.5

T, 105485, REL, 5585.5

T, 105486, REL, 5586.5

T, 105487, REL, 5587.5

T, 105488, REL, 5588.5

T, 105489, REL, 5589.5

T, 105490, REL, 5590.5

T, 105491, REL, 5591.5

T, 105492, REL, 5592.5

T, 105493, REL, 5593.5

T, 105494, REL, 5594.5

T, 105495, REL, 5595.5

T, 105496, REL, 5596.5

T, 105497, REL, 5597.5

T, 105498, REL, 5598.5

T, 105499, REL, 5599.5

T, 105500, REL, 5600.5

T, 105501, REL, 5601.5

T, 105502, REL, 5602.5

T, 105503, REL, 5603.5

T, 105504, REL, 5604.5

T, 105505, REL, 5605.5

T, 105506, REL, 5606.5

T, 105507, REL, 5607.5

T, 105508, REL, 5608.5

T, 105509, REL, 5609.5

T, 105510, REL, 5610.5

T, 105511, REL, 5611.5

T, 105512, REL, 5612.5

T, 105513, REL, 5613.5

T, 105514, REL, 5614.5

T, 105515, REL, 5615.5

T, 105516, REL, 5616.5

T, 105517, REL, 5617.5

T, 105518, REL, 5618.5

T, 105519, REL, 5619.5

T, 105520, REL, 5620.5

T, 105521, REL, 5621.5

T, 105522, REL, 5622.5

T, 105523, REL, 5623.5

T, 105524, REL, 5624.5

T, 105525, REL, 5625.5

T, 105526, REL, 5626.5

T, 105527, REL, 5627.5

T, 105528, REL, 5628.5

T, 105529, REL, 5629.5

T, 105530, REL, 5630.5

T, 105531, REL, 5631.5

T, 105532, REL, 5632.5

T, 105533, REL, 5633.5

T, 105534, REL, 5634.5

T, 105535, REL, 5635.5

T, 105536, REL, 5636.5

T, 105537, REL, 5637.5

T, 105538, REL, 5638.5

T, 105539, REL, 5639.5

T, 105540, REL, 5640.5

T, 105541, REL, 5641.5

T, 105542, REL, 5642.5

T, 105543, REL, 5643.5

T, 105544, REL, 5644.5

T, 105545, REL, 5645.5

T, 105546, REL, 5646.5

T, 105547, REL, 5647.5

T, 105548, REL, 5648.5

T, 105549, REL, 5649.5

T, 105550, REL, 5650.5

T, 105551, REL, 5651.5

T, 105552, REL, 5652.5

T, 105553, REL, 5653.5

T, 105554, REL, 5654.5

T, 105555, REL, 5655.5

T, 105556, REL, 5656.5

T, 105557, REL, 5657.5

T, 105558, REL, 5658.5

T, 105559, REL, 5659.5

T, 105560, REL, 5660.5

T, 105561, REL, 5661.5

T, 105562, REL, 5662.5

T, 105563, REL, 5663.5

T, 105564, REL, 5664.5

T, 105565, REL, 5665.5

T, 105566, REL, 5666.5

T, 105567, REL, 5667.5

T, 105568, REL, 5668.5

T, 105569, REL, 5669.5

T, 105570, REL, 5670.5

T, 105571, REL, 5671.5

T, 105572, REL, 5672.5

T, 105573, REL, 5673.5

T, 105574, REL, 5674.5

T, 105575, REL, 5675.5

T, 105576, REL, 5676.5

T, 105577, REL, 5677.5

T, 105578, REL, 5678.5

T, 105579, REL, 5679.5

T, 105580, REL, 5680.5

T, 105581, REL, 5681.5

T, 105582, REL, 5682.5

T, 105583, REL, 5683.5

T, 105584, REL, 5684.5

T, 105585, REL, 5685.5

T, 105586, REL, 5686.5

T, 105587, REL, 5687.5

T, 105588, REL, 5688.5

T, 105589, REL, 5689.5

T, 105590, REL, 5690.5

T, 105591, REL, 5691.5

T, 105592, REL, 5692.5

T, 105593, REL, 5693.5

T, 105594, REL, 5694.5

T, 105595, REL, 5695.5

T, 105596, REL, 5696.5

T, 105597, REL, 5697.5

T, 105598, REL, 5698.5

T, 105599, REL, 5699.5

T, 105600, REL, 5700.5

T, 105601, REL, 5701.5

T, 105602, REL, 5702.5

T, 105603, REL, 5703.5

T, 105604, REL, 5704.5

T, 105605, REL, 5705.5

T, 105606, REL, 5706.5

T, 105607, REL, 5707.5

T, 105608, REL, 5708.5

T, 105609, REL, 5709.5

T, 105610, REL, 5710.5

T, 105611, REL, 5711.5

T, 105612, REL, 5712.5

T, 105613, REL, 5713.5

T, 105614, REL, 5714.5

T, 105615, REL, 5715.5

T, 105616, REL, 5716.5

T, 105617, REL, 5717.5

T, 105618, REL, 5718.5

T, 105619, REL, 5719.5

T, 105620, REL, 5720.5

T, 105621, REL, 5721.5

T, 105622, REL, 5722.5

T, 105623, REL, 5723.5

T, 105624, REL, 5724.5

T, 105625, REL, 5725.5

T, 105626, REL, 5726.5

T, 105627, REL, 5727.5

T, 105628, REL, 5728.5

T, 105629, REL, 5729.5

T, 105630, REL, 5730.5

T, 105631, REL, 5731.5

T, 105632, REL, 5732.5

T, 105633, REL, 5733.5

T, 105634, REL, 5734.5

T, 105635, REL, 5735.5

T, 105636, REL, 5736.5

T, 105637, REL, 5737.5

T, 105638, REL, 5738.5

T, 105639, REL, 5739.5

T, 105640, REL, 5740.5

T, 105641, REL, 5741.5

T, 105642, REL, 5742.5

T, 105643, REL, 5743.5

T, 105644, REL, 5744.5

T, 105645, REL, 5745.5

T, 105646, REL, 5746.5

T, 105647, REL, 5747.5

T, 105648, REL, 5748.5

T, 105649, REL, 5749.5

T, 105650, REL, 5750.5

T, 105651, REL, 5751.5

T, 105652, REL, 5752.5

T, 105653, REL, 5753.5

T, 105654, REL, 5754.5

T, 105655, REL, 5755.5

T, 105656, REL, 5756.5

T, 105657, REL, 5757.5

T, 105658, REL, 5758.5

T, 105659, REL, 5759.5

T, 105660, REL, 5760.5

T, 105661, REL, 5761.5

T, 105662, REL, 5762.5

T, 105663, REL, 5763.5

T, 105664, REL, 5764.5

T, 105665, REL, 5765.5

T, 105666, REL, 5766.5

T, 105667, REL, 5767.5

T, 105668, REL, 5768.5

T, 105669, REL, 5769.5

T, 105670, REL, 5770.5

T, 105671, REL, 5771.5

T, 105672, REL, 5772.5

T, 105673, REL, 5773.5

T, 105674, REL, 5774.5

T, 105675, REL, 5775.5

T, 105676, REL, 5776.5

T, 105677, REL, 5777.5

T, 105678, REL, 5778.5

T, 105679, REL, 5779.5

T, 105680, REL, 5780.5

T, 105681, REL, 5781.5

T, 105682, REL, 5782.5

T, 105683, REL, 5783.5

T, 105684, REL, 5784.5

T, 105685, REL, 5785.5

T, 105686, REL, 5786.5

T, 105687, REL, 5787.5

T, 105688, REL, 5788.5

T, 105689, REL, 5789.5

T, 105690, REL, 5790.5

T, 105691, REL, 5791.5

T, 105692, REL, 5792.5

T, 105693, REL, 5793.5

T, 105694, REL, 5794.5

T, 105695, REL, 5795.5

T, 105696, REL, 5796.5

T, 105697, REL, 5797.5

T, 105698, REL, 5798.5

T, 105699, REL, 5799.5

T, 105700, REL, 5800.5

T, 105701, REL, 5801.5

T, 105702, REL, 5802.5

T, 105703, REL, 5803.5

T, 105704, REL, 5804.5

T, 105705, REL, 5805.5

T, 105706, REL, 5806.5

T, 105707, REL, 5807.5

T, 105708, REL, 5808.5

T, 105709, REL, 5809.5

T, 105710, REL, 5810.5

T, 105711, REL, 5811.5

T, 105712, REL, 5812.5

T, 105713, REL, 5813.5

T, 105714, REL, 5814.5

T, 105715, REL, 5815.5

T, 105716, REL, 5816.5

T, 105717, REL, 5817.5

T, 105718, REL, 5818.5

T, 105719, REL, 5819.5

T, 105720, REL, 5820.5

T, 105721, REL, 5821.5

T, 105722, REL, 5822.5

T, 105723, REL, 5823.5

T, 105724, REL, 5824.5

T, 105725, REL, 5825.5

T, 105726, REL, 5826.5

T, 105727, REL, 5827.5

T, 105728, REL, 5828.5

T, 105729, REL, 5829.5

T, 105730, REL, 5830.5

T, 105731, REL, 5831.5

T, 105732, REL, 5832.5

T, 105733, REL, 5833.5

T, 105734, REL, 5834.5

T, 105735, REL, 5835.5

T, 105736, REL, 5836.5

T, 105737, REL, 5837.5

T, 105738, REL, 5838.5

T, 105739, REL, 5839.5

T, 105740, REL, 5840.5

T, 105741, REL, 5841.5

T, 105742, REL, 5842.5

T, 105743, REL, 5843.5

T, 105744, REL, 5844.5

T, 105745, REL, 5845.5

T, 105746, REL, 5846.5

T, 105747, REL, 5847.5

T, 105748, REL, 5848.5

T, 105749, REL, 5849.5

T, 105750, REL, 5850.5

T, 105751, REL, 5851.5

T, 105752, REL, 5852.5

T, 105753, REL, 5853.5

T, 105754, REL, 5854.5

T, 105755, REL, 5855.5

T, 105756, REL, 5856.5

T, 105757, REL, 5857.5

T, 105758, REL, 5858.5

T, 105759, REL, 5859.5

T, 105760, REL, 5860.5

T, 105761, REL, 5861.5

T, 105762, REL, 5862.5

T, 105763, REL, 5863.5

T, 105764, REL, 5864.5

T, 105765, REL, 5865.5

T, 105766, REL, 5866.5

T, 105767, REL, 5867.5

T, 105768, REL, 5868.5

T, 105769, REL, 5869.5

T, 105770, REL, 5870.5

T, 105771, REL, 5871.5

T, 105772, REL, 5872.5

T, 105773, REL, 5873.5

T, 105774, REL, 5874.5

T, 105775, REL, 5875.5

T, 105776, REL, 5876.5

T, 105777, REL, 5877.5

T, 105778, REL, 5878.5

T, 105779, REL, 5879.5

T, 105780, REL, 5880.5

T, 105781, REL, 5881.5

T, 105782, REL, 5882.5

T, 105783, REL, 5883.5

T, 105784, REL, 5884.5

T, 105785, REL, 5885.5

T, 105786, REL, 5886.5

T, 105787, REL, 5887.5

T, 105788, REL, 5888.5

T, 105789, REL, 5889.5

T, 105790, REL, 5890.5

T, 105791, REL, 5891.5

T, 105792, REL, 5892.5

T, 105793, REL, 5893.5

T, 105794, REL, 5894.5

T, 105795, REL, 5895.5

T, 105796, REL, 5896.5

T, 105797, REL, 5897.5

T, 105798, REL, 5898.5

T, 105799, REL, 5899.5

T, 105800, REL, 5900.5

T, 105801, REL, 5901.5

T, 105802, REL, 5902.5

T, 105803, REL, 5903.5

T, 105804, REL, 5904.5

T, 105805, REL, 5905.5

T, 105806, REL, 5906.5

T, 105807, REL, 5907.5

T, 105808, REL, 5908.5

T, 105809, REL, 5909.5

T, 105810, REL, 5910.5

T, 105811, REL, 5911.5

T, 105812, REL, 5912.5

T, 105813, REL, 5913.5

T, 105814, REL, 5914.5

T, 105815, REL, 5915.5

T, 105816, REL, 5916.5

T, 105817, REL, 5917.5

T, 105818, REL, 5918.5

T, 105819, REL, 5919.5

T, 105820, REL, 5920.5

T, 105821, REL, 5921.5

T, 105822, REL, 5922.5

T, 105823, REL, 5923.5

T, 105824, REL, 5924.5

T, 105825, REL, 5925.5

T, 105826, REL, 5926.5

T, 105827, REL, 5927.5

T, 105828, REL, 5928.5

T, 105829, REL, 5929.5

T, 105830, REL, 5930.5

T, 105831, REL, 5931.5

T, 105832, REL, 5932.5

T, 105833, REL, 5933.5

T, 105834, REL, 5934.5

T, 105835, REL, 5935.5

T, 105836, REL, 5936.5

T, 105837, REL, 5937.5

T, 105838, REL, 5938.5

T, 105839, REL, 5939.5

T, 105840, REL, 5940.5

T, 105841, REL, 5941.5

T, 105842, REL, 5942.5

T, 105843, REL, 5943.5

T, 105844, REL, 5944.5

T, 105845, REL, 5945.5

T, 105846, REL, 5946.5

T, 105847, REL, 5947.5

T, 105848, REL, 5948.5

T, 105849, REL, 5949.5

T, 105850, REL, 5950.5

T, 105851, REL, 5951.5

T, 105852, REL, 5952.5

T, 105853, REL, 5953.5

T, 105854, REL, 5954.5

T, 105855, REL, 5955.5

T, 105856, REL, 5956.5

T, 105857, REL, 5957.5

T, 105858, REL, 5958.5

T, 105859, REL, 5959.5

T, 105860, REL, 5960.5

T, 105861, REL, 5961.5

T, 105862, REL, 5962.5

T, 105863, REL, 5963.5

T, 105864, REL, 5964.5

T, 105865, REL, 5965.5

T, 105866, REL, 5966.5

T, 105867, REL, 5967.5

T, 105868, REL, 5968.5

T, 105869, REL, 5969.5

T, 105870, REL, 5970.5

T, 105871, REL, 5971.5

T, 105872, REL, 5972.5

T, 105873, REL, 5973.5

T, 105874, REL, 5974.5

T, 105875, REL, 5975.5

T, 105876, REL, 5976.5

T, 105877, REL, 5977.5

T, 105878, REL, 5978.5

T, 105879, REL, 5979.5

T, 105880, REL, 5980.5

T, 105881, REL, 5981.5

T, 105882, REL, 5982.5

T, 105883, REL, 5983.5

T, 105884, REL, 5984.5

T, 105885, REL, 5985.5

T, 105886, REL, 5986.5

T, 105887, REL, 5987.5

T, 105888, REL, 5988.5

T, 105889, REL, 5989.5

T, 105890, REL, 5990.5

T, 105891, REL, 5991.5

T, 105892, REL, 5992.5

T, 105893, REL, 5993.5

T, 105894, REL, 5994.5

T, 105895, REL, 5995.5

T, 105896, REL, 5996.5

T, 105897, REL, 5997.5

T, 105898, REL, 5998.5

T, 105899, REL, 5999.5

T, 105900, REL, 6000.5

T, 105901, REL, 6001.5

T, 105902, REL, 6002.5

T, 105903, REL, 6003.5

T, 105904, REL, 6004.5

T, 105905, REL, 6005.5

T, 105906, REL, 6006.5

T, 105907, REL, 6007.5

T, 105908, REL, 6008.5

T, 105909, REL, 6009.5

T, 105910, REL, 6010.5

T, 105911, REL, 6011.5

T, 105912, REL, 6012.5

T, 105913, REL, 6013.5

T, 105914, REL, 6014.5

T, 105915, REL, 6015.5

T, 105916, REL, 6016.5

T, 105917, REL, 6017.5

T, 105918, REL, 6018.5

T, 105919, REL, 6019.5

T, 105920, REL, 6020.5

T, 105921, REL, 6021.5

T, 105922, REL, 6022.5

T, 105923, REL, 6023.5

T, 105924, REL, 6024.5

T, 105925, REL, 6025.5

T, 105926, REL, 6026.5

T, 105927, REL, 6027.5

T, 105928, REL, 6028.5

T, 105929, REL, 6029.5

T, 105930, REL, 6030.5

T, 105931, REL, 6031.5

T, 105932, REL, 6032.5

T, 105933, REL, 6033.5

T, 105934, REL, 6034.5

T, 105935, REL, 6035.5

T, 105936, REL, 6036.5

T, 105937, REL, 6037.5

T, 105938, REL, 6038.5

T, 105939, REL, 6039.5

T, 105940, REL, 6040.5

T, 105941, REL, 6041.5

T, 105942, REL, 6042.5

T, 105943, REL, 6043.5

T, 105944, REL, 6044.5

T, 105945, REL, 6045.5

T, 105946, REL, 6046.5

T, 105947, REL, 6047.5

T, 105948, REL, 6048.5

T, 105949, REL, 6049.5

T, 105950, REL, 6050.5

T, 105951, REL, 6051.5

T, 105952, REL, 6052.5

T, 105953, REL, 6053.5

T, 105954, REL, 6054.5

T, 105955, REL, 6055.5

T, 105956, REL, 6056.5

T, 105957, REL, 6057.5

T, 105958, REL, 6058.5

T, 105959, REL, 6059.5

T, 105960, REL, 6060.5

T, 105961, REL, 6061.5

T, 105962, REL, 6062.5

T, 105963, REL, 6063.5

T, 105964, REL, 6064.5

T, 105965, REL, 6065.5

T, 105966, REL, 6066.5

T, 105967, REL, 6067.5

T, 105968, REL, 6068.5

T, 105969, REL, 6069.5

T, 105970, REL, 6070.5

T, 105971, REL, 6071.5

T, 105972, REL, 6072.5

T, 105973, REL, 6073.5

T, 105974, REL, 6074.5

T, 105975, REL, 6075.5

T, 105976, REL, 6076.5

T, 105977, REL, 6077.5

T, 105978, REL, 6078.5

T, 105979, REL, 6079.5

T, 105980, REL, 6080.5

T, 105981, REL, 6081.5

T, 105982, REL, 6082.5

T, 105983, REL, 6083.5

T, 105984, REL, 6084.5

T, 105985, REL, 6085.5

T, 105986, REL, 6086.5

T, 105987, REL, 6087.5

T, 105988, REL, 6088.5

T, 105989, REL, 6089.5

T, 105990, REL, 6090.5

T, 105991, REL, 6091.5

T, 105992, REL, 6092.5

T, 105993, REL, 6093.5

T, 105994, REL, 6094.5

T, 105995, REL, 6095.5

T, 105996, REL, 6096.5

T, 105997, REL, 6097.5

T, 105998, REL, 6098.5

T, 105999, REL, 6099.5

T, 106000, REL, 6100.5

T, 106001, REL, 6101.5

T, 106002, REL, 6102.5

T, 106003, REL, 6103.5

T, 106004, REL, 6104.5

T, 106005, REL, 6105.5

T, 106006, REL, 6106.5

T, 106007, REL, 6107.5

T, 106008, REL, 6108.5

T, 106009, REL, 6109.5

T, 106010, REL, 6110.5

T, 106011, REL, 6111.5

T, 106012, REL, 6112.5

T, 106013, REL, 6113.5

T, 106014, REL, 6114.5

T, 106015, REL, 6115.5

T, 106016, REL, 6116.5

T, 106017, REL, 6117.5

T, 106018, REL, 6118.5

T, 106019, REL, 6119.5

T, 106020, REL, 6120.5

T, 106021, REL, 6121.5

T, 106022, REL, 6122.5

T, 106023, REL, 6123.5

T, 106024, REL, 6124.5

T, 106025, REL, 6125.5

T, 106026, REL, 6126.5

T, 106027, REL, 6127.5

T, 106028, REL, 6128.5

T, 106029, REL, 6129.5

T, 106030, REL, 6130.5

T, 106031, REL, 6131.5

T, 106032, REL, 6132.5

T, 106033, REL, 6133.5

T, 106034, REL, 6134.5

T, 106035, REL, 6135.5

T, 106036, REL, 6136.5

T, 106037, REL, 6137.5

T, 106038, REL, 6138.5

T, 106039, REL, 6139.5

T, 106040, REL, 6140.5

T, 106041, REL, 6141.5

T, 106042, REL, 6142.5

T, 106043, REL, 6143.5

T, 106044, REL, 6144.5

T, 106045, REL, 6145.5

T, 106046, REL, 6146.5

T, 106047, REL, 6147.5

T, 106048, REL, 6148.5

T, 106049, REL, 6149.5

T, 106050, REL, 6150.5

T, 106051, REL, 6151.5

T, 106052, REL, 6152.5

T, 106053, REL, 6153.5

T, 106054, REL, 6154.5

T, 106055, REL, 6155.5

T, 106056, REL, 6156.5

T, 106057, REL, 6157.5

T, 106058, REL, 6158.5

T, 106059, REL, 6159.5

T, 106060, REL, 6160.5

T, 106061, REL, 6161.5

T, 106062, REL, 6162.5

T, 106063, REL, 6163.5

T, 106064, REL, 6164.5

T, 106065, REL, 6165.5

T, 106066, REL, 6166.5

T, 106067, REL, 6167.5

T, 106068, REL, 6168.5

T, 106069, REL, 6169.5

T, 106070, REL, 6170.5

T, 106071, REL, 6171.5

T, 106072, REL, 6172.5

T, 106073, REL, 6173.5

T, 106074, REL, 6174.5

T, 106075, REL, 6175.5

T, 106076, REL, 6176.5

T, 106077, REL, 6177.5

T, 106078, REL, 6178.5

T, 106079, REL, 6179.5

T, 106080, REL, 6180.5

T, 106081, REL, 6181.5

T, 106082, REL, 6182.5

T, 106083, REL, 6183.5

T, 106084, REL, 6184.5

T, 106085, REL, 6185.5

T, 106086, REL, 6186.5

T, 106087, REL, 6187.5

T, 106088, REL, 6188.5

T, 106089, REL, 6189.5

T, 106090, REL, 6190.5

T, 106091, REL, 6191.5

T, 106092, REL, 6192.5

T, 106093, REL, 6193.5

T, 106094, REL, 6194.5

T, 106095, REL, 6195.5

T, 106096, REL, 6196.5

T, 106097, REL, 6197.5

T, 106098, REL, 6198.5

T, 106099, REL, 6199.5

T, 106100, REL, 6200.5

T, 106101, REL, 6201.5

T, 106102, REL, 6202.5

T, 106103, REL, 6203.5

T, 106104, REL, 6204.5

T, 106105, REL, 6205.5

T, 106106, REL, 6206.5

T, 106107, REL, 6207.5

T, 106108, REL, 6208.5

T, 106109, REL, 6209.5

T, 106110, REL, 6210.5

T, 106111, REL, 6211.5

T, 106112, REL, 6212.5

T, 106113, REL, 6213.5

T, 106114, REL, 6214.5

T, 106115, REL, 6215.5

T, 106116, REL, 6216.5

T, 106117, REL, 6217.5

T, 106118, REL, 6218.5

T, 106119, REL, 6219.5

T, 106120, REL, 6220.5

T, 106121, REL, 6221.5

T, 106122, REL, 6222.5

T, 106123, REL, 6223.5

T, 106124, REL, 6224.5

T, 106125, REL, 6225.5

T, 106126, REL, 6226.5

T, 106127, REL, 6227.5

T, 106128, REL, 6228.5

T, 106129, REL, 6229.5

T, 106130, REL, 6230.5

T, 106131, REL, 6231.5

T, 106132, REL, 6232.5

T, 106133, REL, 6233.5

T, 106134, REL, 6234.5

T, 106135, REL, 6235.5

T, 106136, REL, 6236.5

T, 106137, REL, 6237.5

T, 106138, REL, 6238.5

T, 106139, REL, 6239.5

T, 106140, REL, 6240.5

T, 106141, REL, 6241.5

T, 106142, REL, 6242.5

T, 106143, REL, 6243.5

T, 106144, REL, 6244.5

T, 106145, REL, 6245.5

T, 106146, REL, 6246.5

T, 106147, REL, 6247.5

T, 106148, REL, 6248.5

T, 106149, REL, 6249.5

T, 106150, REL, 6250.5

T, 106151, REL, 6251.5

T, 106152, REL, 6252.5

T, 106153, REL, 6253.5

T, 106154, REL, 6254.5

T, 106155, REL, 6255.5

T, 106156, REL, 6256.5

T, 106157, REL, 6257.5

T, 106158, REL, 6258.5

T, 106159, REL, 6259.5

T, 106160, REL, 6260.5

T, 106161, REL, 6261.5

T, 106162, REL, 6262.5

T, 106163, REL, 6263.5

T, 106164, REL, 6264.5

T, 106165, REL, 6265.5

T, 106166, REL, 6266.5

T, 106167, REL, 6267.5

T, 106168, REL, 6268.5

T, 106169, REL, 6269.5

T, 106170, REL, 6270.5

T, 106171, REL, 6271.5

T, 106172, REL, 6272.5

T, 106173, REL, 6273.5

T, 106174, REL, 6274.5

T, 106175, REL, 6275.5

T, 106176, REL, 6276.5

T, 106177, REL, 6277.5

T, 106178, REL, 6278.5

T, 106179, REL, 6279.5

T, 106180, REL, 6280.5

T, 106181, REL, 6281.5

T, 106182, REL, 6282.5

T, 106183, REL, 6283.5

T, 106184, REL, 6284.5

T, 106185, REL, 6285.5

T, 106186, REL, 6286.5

T, 106187, REL, 6287.5

T, 106188, REL, 6288.5

T, 106189, REL, 6289.5

T, 106190, REL, 6290.5

T, 106191, REL, 6291.5

T, 106192, REL, 6292.5

T, 106193, REL, 6293.5

T, 106194, REL, 6294.5

T, 106195, REL, 6295.5

T, 106196, REL, 6296.5

T, 106197, REL, 6297.5

T, 106198, REL, 6298.5

T, 106199, REL, 6299.5

T, 106200, REL, 6300.5

T, 106201, REL, 6301.5

T, 106202, REL, 6302.5

T, 106203, REL, 6303.5

T, 106204, REL, 6304.5

T, 106205, REL, 6305.5

T, 106206, REL, 6306.5

T, 106207, REL, 6307.5

T, 106208, REL, 6308.5

T, 106209, REL, 6309.5

T, 106210, REL, 6310.5

T, 106211, REL, 6311.5

T, 106212, REL, 6312.5

T, 106213, REL, 6313.5

T, 106214, REL, 6314.5

T, 106215, REL, 6315.5

T, 106216, REL, 6316.5

T, 106217, REL, 6317.5

T, 106218, REL, 6318.5

T, 106219, REL, 6319.5

T, 106220, REL, 6320.5

T, 106221, REL, 6321.5

T, 106222, REL, 6322.5

T, 106223, REL, 6323.5

T, 106224, REL, 6324.5

T, 106225, REL, 6325.5

T, 106226, REL, 6326.5

T, 106227, REL, 6327.5

T, 106228, REL, 6328.5

T, 106229, REL, 6329.5

T, 106230, REL, 6330.5

T, 106231, REL, 6331.5

T, 106232, REL, 6332.5

T, 106233, REL, 6333.5

T, 106234, REL, 6334.5

T, 106235, REL, 6335.5

T, 106236, REL, 6336.5

T, 106237, REL, 6337.5

T, 106238, REL, 6338.5

T, 106239, REL, 6339.5

T, 106240, REL, 6340.5

T, 106241, REL, 6341.5

T, 106242, REL, 6342.5

T, 106243, REL, 6343.5

T, 106244, REL, 6344.5

T, 106245, REL, 6345.5

T, 106246, REL, 6346.5

T, 106247, REL, 6347.5

T, 106248, REL, 6348.5

T, 106249, REL, 6349.5

T, 106250, REL, 6350.5

T, 106251, REL, 6351.5

T, 106252, REL, 6352.5

T, 106253, REL, 6353.5

T, 106254, REL, 6354.5

T, 106255, REL, 6355.5

T, 106256, REL, 6356.5

T, 106257, REL, 6357.5

T, 106258, REL, 6358.5

T, 106259, REL, 6359.5

T, 106260, REL, 6360.5

T, 106261, REL, 6361.5

T, 106262, REL, 6362.5

T, 106263, REL, 6363.5

T, 106264, REL, 6364.5

T, 106265, REL, 6365.5

T, 106266, REL, 6366.5

T, 106267, REL, 6367.5

T, 106268, REL, 6368.5

T, 106269, REL, 6369.5

T, 106270, REL, 6370.5

T, 106271, REL, 6371.5

T, 106272, REL, 6372.5

T, 106273, REL, 6373.5

T, 106274, REL, 6374.5

